"n.beta.lac.plasmid","n.beta.lac.chrom","strain","chrom.status","coverage","read.max.len","n.c.plasmids","n.plasmids","n.beta.lac","nc.beta.lac.plasmid","n.rep.chrom","n.rep.plasmid","n.rep.total","n.rep.tot.cen","n.rep.cen.chrom","n.rep.cen.plasmid","n.rep.100.chrom","n.rep.100.plasmid","n.rep.100.total","n.rep.100.cen.chrom","n.rep.100.cen.plasmid","n.rep.100.cen.tot","n.rep.500.chrom","n.rep.500.plasmid","n.rep.500.total","n.rep.500.cen.chrom","n.rep.500.cen.plasmid","n.rep.500.cen.tot","rep.tot.cen","med.tot.rep.len.chrom","med.tot.rep.len.plasmid","med.tot.rep.len","med.rep.len.chrom","med.rep.len.plasmid","med.rep.len","max.rep.len.chrom","max.rep.len.plasmid","max.rep.len","max.rep.len.cen.chrom","max.rep.len.cen.plasmid","max.rep.len.cen","med.AR.len.chrom","med.AR.len.plasmid","med.AR.len","med.AR.len.cen.chrom","med.AR.len.cen.plasmid","med.AR.len.cen","min.AR.len.cen.chrom","min.AR.len.cen.plasmid","min.AR.len.cen","n.rep.chrom.ampC","n.rep.plasmid.ampC","med.AR.len.chrom.ampC","med.AR.len.plasmid.ampC","med.AR.len.ampC","med.rep.len.chrom.ampC","med.rep.len.plasmid.ampC","med.rep.len.ampC","sulfonamide.resistant.sul","TEM.beta.lactamase","ampC.type.beta.lactamase","trimethoprim.resistant.dihydrofolate.reductase.dfr","APH3","streptothricin.acetyltransferase.SAT","ANT3","CTX.M.beta.lactamase","chloramphenicol.acetyltransferase.CAT","AAC3","AAC6.Ib.cr","OXA.beta.lactamase","ANT2","fosfomycin.thiol.transferase","SHV.beta.lactamase","tetracycline.resistant.ribosomal.protection.protein","APH6","macrolide.phosphotransferase.MPH","quinolone.resistance.protein.qnr","n.TEM.1","n.TEM.207","n.rep.chrom.CTX","n.rep.plasmid.CTX","med.AR.len.chrom.CTX","med.AR.len.plasmid.CTX","med.AR.len.CTX","med.rep.len.chrom.CTX","med.rep.len.plasmid.CTX","med.rep.len.CTX","n.rep.chrom.TEM","n.rep.plasmid.TEM","med.AR.len.chrom.TEM","med.AR.len.plasmid.TEM","med.AR.len.TEM","med.rep.len.chrom.TEM","med.rep.len.plasmid.TEM","med.rep.len.TEM","no.x","n.rep.plasmid.SHV","med.AR.len.plasmid.SHV","med.AR.len.SHV","no.y","med.rep.len.plasmid.SHV","med.rep.len.SHV","n.is.fam","max.is.len","IS1","IS110","IS200/IS605","IS21","IS256","IS3","IS4","IS481","IS630","IS66","IS91","ISAS1","ISL3","ISNCY","IS5","IS6","IS30","IS1380","IS1182","ISKRA4","n.is.tot","min_distance_is_gene","n.interrupted.genes"
6,-4,"DA63136","circular",27.0620676954019,99155,107,11,2,6,0,97,97,14,0,14,0,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,185,185,0,30,30,0,443,443,0,37,37,0,17991,17991,0,95963.5,95963.5,0,28812,28812,0,97,0,17991,17991,0,30,30,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1839,155,8,3,8,0,57,18,4,0,31,6,10,6,15,46,0,0,0,0,0,367,7923.5,0
2,0,"DA63138","circular",239.532416657247,95059,1,1,2,2,12,13,25,4,4,0,0,4,4,NA,NA,NA,0,1,1,NA,NA,NA,4,101,0,101,26,80,36,36,821,821,26,0,26,18552,129,1872,45997,0,45997,42429,0,42429,12,0,18552,0,18552,26,0,26,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,13,0,129,129,0,80,80,NA,NA,NA,NA,NA,NA,NA,14,1898,18,5,3,21,0,2,3,1,0,1,0,2,5,11,0,8,2,0,2,0,84,5535.5,NA
3,-1,"DA63140","circular",26.9602993050386,82891,4,3,2,3,0,18,18,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,117.5,117.5,0,29,29,0,86,86,0,37,37,0,34410.5,34410.5,0,67377.5,67377.5,0,31250,31250,0,18,0,34410.5,34410.5,0,29,29,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1766,0,4,2,12,1,8,10,0,0,1,3,14,1,18,0,0,0,0,0,0,74,12677.5,NA
4,0,"DA63142","circular",78.7520213516474,139792,1,1,4,4,59,28,87,19,8,11,11,0,11,2,0,2,3,0,3,NA,NA,NA,7,794,140,247,40,25,38,1310,93,1310,316,38,316,42002,32019,41999,43391.5,93652,65885,43130,34079,34079,0,28,0,32019,32019,0,25,25,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,59,0,42002,0,42002,40,0,40,NA,NA,NA,NA,NA,NA,NA,10,1949,13,4,0,17,4,69,2,0,6,3,0,4,0,18,0,0,0,0,0,0,140,4385.5,NA
2,1,"DA63144","circular",132.69679023702,87559,4,2,3,6,27,1,28,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,98,0,98,23,0,23,86,-Inf,86,33,0,33,14644,0,14644,110964,0,110964,37574,0,37574,27,0,14644,0,14644,23,0,23,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,12,1766,6,9,3,14,0,21,1,2,0,13,1,2,2,6,0,0,0,0,0,0,80,23064,NA
0,3,"DA63146","circular",33.0593340375193,74482,0,0,3,0,47,0,47,12,12,0,9,0,9,4,0,4,7,0,7,4,0,4,13,198,0,198,29,0,29,2681,0,2681,820,0,820,4927,0,4927,40050.5,0,40050.5,7124,0,7124,24,0,22481,0,22481,23.5,0,23.5,1,1,2,2,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,23,0,1041,0,1041,49,0,49,NA,NA,NA,NA,NA,NA,NA,15,1941,24,7,2,36,0,34,2,0,6,1,9,2,1,12,27,54,1,0,0,0,218,836.5,NA
0,2,"DA63148","linear",13.0117599713129,84437,0,0,2,0,30,0,30,8,8,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,109,0,109,29,0,29,106,0,106,35,0,35,9989.5,0,9989.5,66698,0,66698,31249,0,31249,30,0,9989.5,0,9989.5,29,0,29,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1996,8,0,2,9,0,11,2,0,0,17,0,2,5,15,0,0,1,0,0,0,72,16339,0
0,3,"DA63150","circular",73.3792622417281,110875,2,2,3,0,72,0,72,18,18,0,36,0,36,14,0,14,28,0,28,14,0,14,9,4924,0,4924,105,0,105,822,0,822,822,0,822,4860,0,4860,35245,0,35245,12382,0,12382,10,0,24327,0,24327,26,0,26,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,NA,NA,30,0,1773.5,0,1773.5,192,0,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1996,0,2,14,24,0,35,1,0,0,5,0,4,1,12,0,153,1,17,0,0,269,756.5,NA
5,-1,"DA63152","circular",47.9855841300899,102986,4,2,4,6,0,75,75,19,0,19,0,2,2,NA,NA,NA,0,2,2,NA,NA,NA,5,0,110.5,110.5,0,31,31,0,1041,1041,0,68,68,0,8632,8632,0,86390,86390,0,30040,30040,0,34,0,32622,32622,0,25,25,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,41,0,8552,8552,0,33,33,NA,NA,NA,NA,NA,NA,NA,10,1997,25,4,1,34,0,18,0,0,0,10,0,4,1,19,8,0,0,0,0,0,124,39624.5,NA
2,-1,"DA63154","linear",44.6252275287359,106256,17,5,1,2,0,10,10,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,101,101,0,26,26,0,36,36,0,26,26,0,24327,24327,0,45997,45997,0,42429,42429,0,10,0,24327,24327,0,26,26,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1787,0,5,5,3,0,4,9,0,0,4,0,4,3,11,0,0,1,0,0,0,49,40964,NA
0,2,"DA63156","circular",118.624975152108,110987,0,0,2,0,31,0,31,17,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,236,0,236,26,0,26,86,0,86,46,0,46,42522,0,42522,148066,0,148066,32586,0,32586,31,0,42522,0,42522,26,0,26,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1898,8,4,2,0,0,22,6,2,0,3,0,2,1,10,0,6,0,0,0,0,66,5377.5,0
6,-3,"DA63158","circular",128.220208449453,94778,9,4,3,6,0,38,38,6,0,6,0,4,4,0,2,2,0,3,3,0,2,2,6,0,871,871,0,32,32,0,821,821,0,821,821,0,366,366,0,44189.5,44189.5,0,13934,13934,0,10,0,24327,24327,0,26,26,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,NA,NA,0,23,0,261,261,0,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1898,7,3,4,28,0,24,4,2,0,3,0,4,1,12,0,16,1,4,0,0,113,755.5,NA
3,-1,"DA63160","circular",73.3062776493699,102488,68,6,2,3,0,43,43,8,0,8,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,97,97,0,30,30,0,143,143,0,33,33,0,3190,3190,0,107372.5,107372.5,0,37574,37574,0,43,0,3190,3190,0,30,30,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1939,1,2,6,4,5,23,5,0,2,1,0,20,3,6,0,0,0,0,0,0,78,24390,0
0,2,"DA63162","circular",138.627446689091,115000,1,1,2,0,55,0,55,9,9,0,24,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,127.5,0,127.5,79,0,79,313,0,313,37,0,37,454,0,454,89976,0,89976,31250,0,31250,55,0,454,0,454,79,0,79,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1918,7,2,5,1,0,33,11,0,0,6,0,20,4,12,2,0,0,0,0,0,103,16262,0
13,-9,"DA63164","linear",55.9147953118362,93781,20,7,4,NA,1,67,68,29,0,29,1,9,10,0,4,4,1,0,1,NA,NA,NA,18,0,1123,1123,821,29,31,821,485,821,0,485,485,964,15814,15806.5,0,145793,145793,0,8616,8616,0,45,0,18382,18382,0,26,26,3,2,2,4,1,0,2,0,1,1,0,0,0,0,0,0,1,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,1,22,964,15806.5,15799,821,87,90,NA,NA,NA,NA,NA,NA,NA,12,2000,50,3,2,38,0,53,37,0,0,14,0,2,1,21,9,44,0,0,0,0,274,851.5,0
4,-1,"DA63166","circular",95.1762362557053,109647,2,2,3,4,0,23,23,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,64,64,0,31,31,0,93,93,0,37,37,0,18503,18503,0,86098.5,86098.5,0,32347,32347,0,23,0,18503,18503,0,31,31,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2000,0,28,1,2,0,42,1,4,0,4,0,6,0,15,0,0,0,0,0,0,103,4755,0
0,2,"DA63168","circular",83.2566746309844,111199,1,1,2,0,44,0,44,7,7,0,15,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,99,0,99,47.5,0,47.5,223,0,223,35,0,35,364,0,364,41186,0,41186,31250,0,31250,44,0,364,0,364,47.5,0,47.5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1953,9,5,3,2,0,8,2,0,1,1,0,2,1,12,0,0,0,0,0,0,46,16339,0
0,3,"DA63170","circular",63.7941758490184,119807,8,2,3,0,96,0,96,10,10,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,119.5,0,119.5,32,0,32,166,0,166,31,0,31,411,0,411,148656.5,0,148656.5,31117,0,31117,96,0,411,0,411,32,0,32,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1996,4,0,4,3,0,27,0,0,0,4,0,0,0,14,0,0,2,0,0,0,58,49874,NA
13,-8,"DA63172","circular",49.8233733887847,81831,36,7,5,NA,0,31,31,6,0,6,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,69,69,0,41,41,0,149,149,0,89,89,0,1102,1102,0,84056,84056,0,80490,80490,0,13,0,168,168,0,76,76,2,1,3,2,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,11,0,3318,3318,0,35,35,0,7,0,120,120,0,37,37,NA,NA,NA,NA,NA,NA,NA,12,1849,14,0,40,17,0,57,0,3,0,1,0,5,5,19,2,61,0,1,0,0,225,640,0
0,2,"DA63174","circular",43.0445145598902,104191,4,1,2,0,68,0,68,29,29,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,360,0,360,26,0,26,106,0,106,37,0,37,27457,0,27457,172502,0,172502,32499,0,32499,68,0,27457,0,27457,26,0,26,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1952,4,6,14,9,0,29,6,0,4,5,0,8,5,16,0,0,0,0,0,0,106,3838,0
3,-1,"DA63176","linear",35.8328159774868,176726,3,3,2,3,0,69,69,25,0,25,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,329.5,329.5,0,26,26,0,117,117,0,53,53,0,11372,11372,0,173801,173801,0,32593,32593,0,69,0,11372,11372,0,26,26,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1914,1,7,2,4,0,15,2,0,4,1,0,2,1,12,0,0,0,0,0,0,51,16328,NA
12,-8,"DA63178","circular",41.8727969176921,71112,16,3,4,NA,0,43,43,6,0,6,0,9,9,NA,NA,NA,0,1,1,NA,NA,NA,12,0,29,29,0,46,46,0,821,821,0,29,29,0,574,574,0,108370,108370,0,30986,30986,0,31,0,336,336,0,41,41,2,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,12,0,6637,6637,0,153,153,NA,NA,NA,NA,NA,NA,NA,10,1766,32,1,26,10,0,36,0,0,0,2,0,8,14,21,0,50,0,0,0,0,200,586.5,NA
5,-2,"DA63180","linear",209.277946180441,132807,2,2,3,10,0,84,84,11,0,11,0,9,9,NA,NA,NA,0,2,2,NA,NA,NA,5,0,101,101,0,38,38,0,820,820,0,71,71,0,10145.5,10145.5,0,45950,45950,0,30631,30631,0,12,0,18552,18552,0,26,26,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,0,10203.5,10203.5,0,46,46,0,28,0,4988,4988,0,44,44,NA,NA,NA,NA,NA,NA,NA,16,1898,33,2,3,18,0,22,1,2,0,10,4,4,2,16,5,12,2,17,0,0,153,636.5,NA
3,0,"DA63182","circular",100.718075428456,102125,1,1,3,3,8,42,50,14,7,7,2,6,8,1,0,1,NA,NA,NA,NA,NA,NA,7,571,93,146,58.5,38.5,42.5,257,132,257,257,35,257,42920.5,310,599.5,42932,41185,42920.5,42722,31247,31247,0,42,0,310,310,0,38.5,38.5,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,8,0,42920.5,0,42920.5,58.5,0,58.5,NA,NA,NA,NA,NA,NA,NA,12,1820,27,4,12,7,0,16,7,0,2,1,1,6,0,15,0,2,0,0,0,0,100,4313.5,0
3,0,"DA63184","linear",29.61897911218,103914,0,0,3,3,17,120,137,46,2,44,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,48,567,481,26,29,29,84,206,206,26,37,37,1819,46866.5,34764,79084.5,130290,130290,22936,31844,22936,17,120,1819,46866.5,34764,26,29,29,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1919,80,0,6,2,0,40,9,0,0,0,0,8,0,20,0,0,0,0,0,0,165,4549.5,NA
1,2,"DA63186","circular",137.590196288602,146859,17,3,3,5,22,1,23,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,98.5,0,98.5,23,0,23,86,-Inf,86,33,0,33,9219.5,0,9219.5,65876.5,0,65876.5,36803,0,36803,22,0,9219.5,0,9219.5,23,0,23,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,13,1765,9,5,8,15,0,34,5,1,2,12,0,2,3,6,0,0,4,0,0,0,106,60452.5,NA
0,2,"DA63188","circular",71.626944274461,137242,20,5,2,0,28,0,28,6,6,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,84.5,0,84.5,34.5,0,34.5,124,0,124,35,0,35,1696,0,1696,67283.5,0,67283.5,31250,0,31250,28,0,1696,0,1696,34.5,0,34.5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1766,7,7,2,14,0,10,2,0,0,3,0,2,2,12,0,0,0,0,0,0,61,16341,0
0,2,"DA63190","circular",82.5117936864917,121304,2,2,2,0,23,0,23,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,78,0,78,27,0,27,96,0,96,26,0,26,15506,0,15506,45938,0,45938,42417,0,42417,23,0,15506,0,15506,27,0,27,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1985,3,5,10,1,5,19,1,0,0,1,0,4,1,9,0,0,0,0,0,0,59,18277,0
3,-1,"DA63192","circular",76.6479112179949,157691,2,1,2,3,0,25,25,8,0,8,0,1,1,NA,NA,NA,0,1,1,NA,NA,NA,4,0,105,105,0,28,28,0,768,768,0,36,36,0,15602,15602,0,88423,88423,0,35325,35325,0,25,0,15602,15602,0,28,28,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1969,16,0,1,4,0,3,1,0,0,0,0,4,0,9,0,0,0,0,0,0,38,5879.5,0
8,-4,"DA63194","circular",35.3398265909472,113646,2,2,4,NA,29,46,75,34,10,24,0,6,6,0,2,2,0,2,2,NA,NA,NA,11,132.5,520,381.5,23,35,29,96,820,820,35,126,126,17206,6355,6364,110628,6659.5,6965,31206,6276,6276,29,0,17206,0,17206,23,0,23,1,1,2,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,23,0,6355,6355,0,35,35,0,23,0,6355,6355,0,35,35,NA,NA,NA,NA,NA,NA,NA,15,1960,14,18,2,4,0,50,6,2,4,7,0,10,0,27,1,31,1,0,3,0,180,787.5,1
0,2,"DA63196","circular",49.2356470780828,103861,1,1,2,0,50,0,50,8,8,0,5,0,5,NA,NA,NA,3,0,3,NA,NA,NA,3,90,0,90,29,0,29,1226,0,1226,30,0,30,27748,0,27748,93783,0,93783,34043,0,34043,50,0,27748,0,27748,29,0,29,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1888,39,17,0,33,0,55,7,3,28,14,0,9,5,12,96,5,18,0,0,0,341,3313,0
1,1,"DA63198","circular",35.8890437361875,116938,10,3,2,1,9,14,23,3,3,0,1,0,1,NA,NA,NA,1,0,1,NA,NA,NA,3,78,0,78,26,32.5,32,768,95,768,26,0,26,18599,3271,3320,47203,0,47203,43682,0,43682,9,0,18599,0,18599,26,0,26,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,14,0,3271,3271,0,32.5,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1886,9,3,9,26,0,21,1,0,0,6,0,4,1,12,0,2,1,0,0,0,95,1790.5,0
0,2,"DA63200","linear",38.0859021831066,116861,5,1,2,0,12,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,25,0,25,96,0,96,NA,NA,NA,3538,0,3538,NA,NA,NA,NA,NA,NA,12,0,3538,0,3538,25,0,25,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1914,3,2,5,7,3,5,1,0,0,2,0,2,2,9,4,0,0,0,0,0,45,46325.5,NA
2,1,"DA63202","linear",23.7924819048881,75604,6,5,3,2,73,8,81,23,20,3,46,0,46,20,0,20,38,0,38,20,0,20,9,8734.5,78,7913,507,26,173,1346,36,1346,1346,26,1346,4859,24327,4967,32907,45950,33990,14547,42429,14547,0,8,0,24327,24327,0,26,26,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,NA,NA,35,0,4859,0,4859,820,0,820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1897,0,2,14,29,0,32,1,0,0,7,0,4,1,12,0,153,1,17,0,0,273,755.5,NA
3,-1,"DA63204","circular",74.0630130846076,110740,1,1,2,3,0,69,69,24,0,24,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,321.5,321.5,0,26,26,0,117,117,0,53,53,0,11376,11376,0,174571.5,174571.5,0,31250,31250,0,69,0,11376,11376,0,26,26,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1808,1,11,2,24,0,18,2,0,4,1,0,2,5,12,0,0,0,0,0,0,82,23603,NA
5,-2,"DA63210","circular",4.53593784713967,133063,5,2,3,NA,19,52,71,31,7,24,1,15,16,0,9,9,0,5,5,0,2,2,115,93,4647,146,27,47,35,106,822,822,35,822,822,34946,12191,30472,41185,51370.5,51337,31247,33257,31247,19,0,34946,0,34946,27,0,27,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,52,0,12191,12191,0,47,47,NA,NA,NA,NA,NA,NA,NA,12,1897,31,4,12,13,0,28,9,0,2,20,7,6,0,15,0,35,0,0,0,0,182,527,0
0,4,"DA63212","circular",102.183553034171,128736,1,1,4,0,54,0,54,9,9,0,4,0,4,1,0,1,2,0,2,1,0,1,8,185,0,185,31.5,0,31.5,859,0,859,820,0,820,9204.5,0,9204.5,95474,0,95474,7124,0,7124,41,0,21494,0,21494,31,0,31,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,13,0,669,0,669,35,0,35,NA,NA,NA,NA,NA,NA,NA,14,1881,26,2,11,26,12,46,10,0,0,44,0,6,2,11,22,15,4,0,0,0,237,836.5,NA
13,-8,"DA63214","circular",98.4230042757863,118544,31,5,5,NA,0,61,61,3,0,3,0,6,6,0,1,1,0,2,2,NA,NA,NA,13,0,31,31,0,34,34,0,820,820,0,135,135,0,6276,6276,0,31958,31958,0,6741,6741,0,13,0,268,268,0,58,58,0,1,3,2,2,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,24,0,6315.5,6315.5,0,34,34,0,24,0,6315.5,6315.5,0,34,34,NA,NA,NA,NA,NA,NA,NA,12,1954,50,3,39,22,0,34,0,3,0,10,0,9,4,22,0,42,0,0,3,0,241,905.5,NA
2,-1,"DA63216","circular",24.0322909561469,93399,2,2,1,2,0,16,16,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,173,173,0,27.5,27.5,0,37,37,0,37,37,0,21868,21868,0,35630.5,35630.5,0,27452,27452,0,16,0,21868,21868,0,27.5,27.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1654,1,0,2,1,0,6,1,0,0,0,0,2,0,9,0,0,0,0,0,0,22,16016.5,0
4,-1,"DA63218","circular",95.1310228366743,97313,5,2,3,4,0,122,122,33,0,33,0,1,1,0,1,1,0,1,1,0,1,1,8,0,462,462,0,30,30,0,1343,1343,0,1343,1343,0,18203.5,18203.5,0,102738,102738,0,22790,22790,0,122,0,18203.5,18203.5,0,30,30,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1949,18,3,2,16,0,3,18,3,0,9,3,6,0,15,0,6,0,0,0,0,102,11114,NA
