"strain","chrom.status","coverage","read.max.len","n.c.plasmids","n.beta.lac.4","n.plasmids","n.beta.lac","n.beta.lac.plasmid","n.beta.lac.chrom","min.dist.oriC.chrom","min.dist.oriC.plasmid","min.dist.oriC","med.dist.oriC.chrom","med.dist.oriC.plasmid","med.dist.oriC","n.beta.lac.plus.chrom","n.beta.lac.plus.plasmid","nc.beta.lac.plus.plasmid","n.beta.lac.plus","nc.beta.lac.plus","nc.beta.lac.plasmid","n.rep.chrom","n.rep.plasmid","n.rep.total","n.rep.tot.cen","n.rep.cen.chrom","n.rep.cen.plasmid","n.rep.100.chrom","n.rep.100.plasmid","n.rep.100.total","n.rep.100.cen.chrom","n.rep.100.cen.plasmid","n.rep.100.cen.tot","n.rep.500.chrom","n.rep.500.plasmid","n.rep.500.total","n.rep.500.cen.chrom","n.rep.500.cen.plasmid","n.rep.500.cen.tot","rep.in","med.tot.rep.len.chrom","med.tot.rep.len.plasmid","med.tot.rep.len","med.rep.len.chrom","med.rep.len.plasmid","med.rep.len","max.rep.len.chrom","max.rep.len.plasmid","max.rep.len","max.rep.len.cen.chrom","max.rep.len.cen.plasmid","max.rep.len.cen","med.AR.len.chrom","med.AR.len.plasmid","med.AR.len","med.AR.len.cen.chrom","med.AR.len.cen.plasmid","med.AR.len.cen","min.AR.len.cen.chrom","min.AR.len.cen.plasmid","min.AR.len.cen","n.rep.chrom.ampC","n.rep.plasmid.ampC","med.AR.len.chrom.ampC","med.AR.len.plasmid.ampC","med.AR.len.ampC","med.rep.len.chrom.ampC","med.rep.len.plasmid.ampC","med.rep.len.ampC","ampC.type.beta.lactamase","TEM.beta.lactamase","sulfonamide.resistant.sul","trimethoprim.resistant.dihydrofolate.reductase.dfr","APH3","streptothricin.acetyltransferase.SAT","ANT3","CTX.M.beta.lactamase","chloramphenicol.acetyltransferase.CAT","AAC3","OXA.beta.lactamase","AAC6.Ib.cr","ANT2","fosfomycin.thiol.transferase","SHV.beta.lactamase","tetracycline.resistant.ribosomal.protection.protein","APH4","DHA.beta.lactamase","APH6","macrolide.phosphotransferase.MPH","quinolone.resistance.protein.qnr","n.TEM.1","n.TEM.210","n.TEM.148","n.TEM.37","n.rep.chrom.CTX","n.rep.plasmid.CTX","med.AR.len.chrom.CTX","med.AR.len.plasmid.CTX","med.AR.len.CTX","med.rep.len.chrom.CTX","med.rep.len.plasmid.CTX","med.rep.len.CTX","n.rep.chrom.TEM","n.rep.plasmid.TEM","med.AR.len.chrom.TEM","med.AR.len.plasmid.TEM","med.AR.len.TEM","med.rep.len.chrom.TEM","med.rep.len.plasmid.TEM","med.rep.len.TEM","n.rep.plasmid.SHV","med.AR.len.plasmid.SHV","med.AR.len.SHV","med.rep.len.plasmid.SHV","med.rep.len.SHV","n.is.fam","max.is.len","IS1","IS110","IS200/IS605","IS21","IS256","IS3","IS4","IS481","IS630","IS66","IS91","ISAS1","ISL3","ISNCY","IS5","IS6","IS30","new","IS1380","IS1182","ISKRA4","n.is.tot","min_distance_is_gene","n.interrupted.genes","resistance"
"DA63134","linear",14.2375468212238,128985,2,"no",2,3,3,0,0,459256,459256,0,1118921,1118921,0,0,0,0,0,3,0,34,34,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,91,0,31,31,0,93,93,0,41,41,0,72392.5,72392.5,0,137983,137983,0,31120,31120,0,34,0,72392.5,72392.5,0,31,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1996,0,13,3,3,0,15,1,4,0,0,0,5,0,17,0,0,0,0,0,0,0,61,18567.5,0,"nonHR"
"DA63136","circular",27.0620676954019,99155,107,"no",11,2,2,0,0,3379272,3379272,0,3693112.5,3693112.5,0,0,0,0,0,2,0,97,97,14,0,14,0,11,11,0,0,0,0,0,0,0,0,0,0,0,185,185,0,30,30,0,443,443,0,37,37,0,17991,17991,0,95963.5,95963.5,0,28812,28812,0,97,0,17991,17991,0,30,30,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5025,167,8,3,8,1,59,18,4,0,40,6,10,6,15,46,0,0,18,0,0,0,409,9822.5,0,"nonHR"
"DA63138","circular",27.5153830862836,95059,1,"no",1,1,0,1,3622133,0,3622133,3622133,0,3622133,1,0,0,1,1,0,10,0,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,78,29,0,29,36,0,36,26,0,26,18552,0,18552,45950,0,45950,42429,0,42429,10,0,18552,0,18552,29,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2998,18,5,3,35,0,7,5,1,0,9,0,2,5,11,0,8,2,0,0,0,0,111,0,0,"HR"
"DA63140","circular",26.9602993050386,82891,4,"no",3,2,2,0,0,1672396,1672396,0,2046886,2046886,0,2,2,2,2,2,0,18,18,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.5,117.5,0,29,29,0,86,86,0,37,37,0,34410.5,34410.5,0,67377.5,67377.5,0,31250,31250,0,18,0,34410.5,34410.5,0,29,29,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3953,0,4,2,12,1,13,11,0,0,1,3,14,1,18,0,0,0,0,0,0,0,80,35745,0,"nonHR"
"DA63142","circular",17.2620762703607,139792,1,"no",1,4,1,3,1343806,67070,1410876,3558212,67070,3625282,2,1,1,3,3,1,28,99,127,19,11,8,0,11,11,0,3,3,0,4,4,0,2,2,0,140,2684,247,25,39,36,93,1310,1310,38,1309,1309,32019,10242,19120,93652,43380.5,76762,34079,5006,5006,28,0,32019,0,32019,25,0,25,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0,10242,10242,0,39,39,0,0,0,0,0,11,4527,21,8,0,17,4,80,2,0,6,3,0,4,0,18,0,0,0,12,0,0,0,175,1987.5,0,"nonHR"
"DA63144","linear",18.5062907066935,87559,3,"no",2,3,2,1,1728672,1403,1730075,1728672,963956.5,2692628.5,1,0,0,1,1,8,17,11,28,8,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,174,22,98,23,22.5,23,33,106,106,33,22,33,13712,14648,14644,88592,173066,110975,37585,173066,37585,17,10,13712,14648,14644,23,22.5,23,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,2222,6,7,3,1,0,18,1,2,0,16,2,2,0,6,0,0,0,0,0,0,0,64,23394.5,0,"HR"
"DA63146","circular",8.56696906388734,74482,0,"no",0,3,1,2,80373,618788,699161,1912921.5,618788,2531709.5,2,1,1,3,3,1,35,9,44,12,11,1,6,0,6,2,0,2,4,0,4,0,0,0,2,418,20,198,29,20,29,865,86,865,460,20,460,4927,3287,4684.5,37572,91669,40050.5,3556,91669,3556,15,9,31250,3287,22481,27,20,23.5,2,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,582,0,582,38.5,0,38.5,0,0,0,0,0,16,3740,20,7,2,60,0,37,2,0,6,1,7,2,1,12,21,28,1,14,0,0,0,221,564.5,0,"HR"
"DA63148","linear",13.0117599713129,84437,0,"no",0,2,0,2,965538,0,965538,1331046.5,0,1331046.5,0,0,0,0,0,0,30,0,30,8,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,109,0,109,29,0,29,106,0,106,35,0,35,9989.5,0,9989.5,66698,0,66698,31249,0,31249,30,0,9989.5,0,9989.5,29,0,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2555,8,0,2,9,0,13,2,0,0,23,0,2,5,15,0,0,1,0,0,0,0,80,19549,0,"nonHR"
"DA63150","circular",17.8828988037932,110875,1,"no",1,3,0,3,1194078,0,1194078,4820324,0,4820324,1,0,0,1,1,0,56,0,56,18,18,0,30,0,30,14,0,14,28,0,28,14,0,14,0,4924,0,4924,359,0,359,822,0,822,822,0,822,9611,0,9611,35245,0,35245,12382,0,12382,10,0,24327,0,24327,26,0,26,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,22,0,6674,0,6674,820,0,820,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3069,0,2,20,29,0,35,1,2,0,9,0,4,2,12,0,153,1,34,17,0,0,321,1313.5,0,"HR"
"DA63152","circular",13.1953856977483,102986,4,"no",2,4,1,3,1351516,57923,1409439,3613271,57923,3671194,2,0,0,2,2,2,36,41,77,19,16,3,0,2,2,0,0,0,0,2,2,0,0,0,0,91,130,110.5,26,33,31,93,1041,1041,41,68,68,31113,8552,8630,93230,30069,86390,31063,30040,30040,36,0,31113,0,31113,26,0,26,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,8552,8552,0,33,33,0,0,0,0,0,10,2341,25,4,1,27,0,19,0,0,0,12,0,6,0,19,8,0,0,4,0,0,0,125,1936,0,"nonHR"
"DA63154","linear",44.6252275287359,106256,17,"no",5,1,1,0,0,1459543,1459543,0,1459543,1459543,0,0,0,0,0,1,0,10,10,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,0,26,26,0,36,36,0,26,26,0,24327,24327,0,45997,45997,0,42429,42429,0,10,0,24327,24327,0,26,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3437,0,5,5,8,0,5,9,0,0,5,0,4,3,11,0,0,1,0,0,0,0,56,62553,0,"nonHR"
"DA63156","circular",118.624975152108,110987,0,"no",0,2,0,2,3348511,0,3348511,3781063,0,3781063,2,0,0,2,2,0,31,0,31,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,236,26,0,26,86,0,86,46,0,46,42522,0,42522,148066,0,148066,32586,0,32586,31,0,42522,0,42522,26,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3046,8,4,2,6,0,23,6,2,0,3,0,2,1,10,0,6,0,0,0,0,0,73,5377.5,0,"nonHR"
"DA63158","circular",26.5453987550719,94664,10,"no",5,3,0,3,1205416,0,1205416,2299499,0,2299499,1,0,0,1,1,0,38,0,38,6,6,0,4,0,4,2,0,2,3,0,3,2,0,2,0,871,0,871,32,0,32,821,0,821,821,0,821,366,0,366,44189.5,0,44189.5,13934,0,13934,10,0,24327,0,24327,26,0,26,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,261,0,261,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3107,10,3,10,35,0,24,6,4,0,4,0,4,2,12,0,16,1,0,4,0,0,135,1140,0,"nonHR"
"DA63160","circular",17.1546630236084,102488,85,"no",6,3,1,2,3788563,3073,3791636,4186344.5,3073,4189417.5,2,1,4,3,6,4,43,1,44,8,8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,97,0,97,30,0,30,143,0,143,33,0,33,1113,0,1113,107372.5,0,107372.5,37574,0,37574,43,0,1113,0,1113,30,0,30,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,2213,1,2,6,12,5,25,5,0,2,3,0,20,3,6,0,0,0,0,0,0,0,90,24391,0,"HR"
"DA63162","circular",32.0205498887204,98686,3,"no",2,2,0,2,3610413,0,3610413,3948874.5,0,3948874.5,2,0,0,2,2,0,55,0,55,9,9,0,24,0,24,0,0,0,0,0,0,0,0,0,0,127.5,0,127.5,79,0,79,313,0,313,37,0,37,463,0,463,89976,0,89976,31250,0,31250,55,0,463,0,463,79,0,79,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3953,7,2,5,1,0,32,12,0,0,7,0,20,4,12,2,0,0,0,0,0,0,104,19550,0,"nonHR"
"DA63164","linear",40.2378079676958,93781,21,"no",7,4,3,1,19299,47153,66452,19299,2869871,2889170,1,2,2,3,3,3,8,115,123,55,0,55,3,29,32,0,19,19,1,1,2,0,1,1,0,0,3287.5,3287.5,38,46,46,821,661,821,0,661,661,3170.5,37179,32285,0,75893,75893,0,30623,30623,0,49,0,11850,11850,0,26,26,2,2,3,3,1,0,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,8,66,3170.5,66798.5,38460,38,82.5,82,0,0,0,0,0,13,3365,62,5,6,53,0,87,39,0,0,36,0,2,1,21,18,44,0,0,0,6,0,380,1363.5,0,"HR"
"DA63166","circular",95.1762362557053,109647,2,"no",2,3,3,0,0,261646,261646,0,902971,902971,0,1,1,1,1,3,0,23,23,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,0,31,31,0,93,93,0,37,37,0,18503,18503,0,86098.5,86098.5,0,32347,32347,0,23,0,18503,18503,0,31,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2813,0,30,1,15,0,49,1,4,0,8,0,6,0,15,0,0,5,0,0,0,0,134,4755,0,"nonHR"
"DA63168","circular",24.5432411785112,101685,1,"no",1,2,0,2,3706965,0,3706965,4057796,0,4057796,2,0,0,2,2,0,42,0,42,7,7,0,14,0,14,0,0,0,0,0,0,0,0,0,0,99,0,99,56.5,0,56.5,223,0,223,35,0,35,346,0,346,41186,0,41186,31250,0,31250,42,0,346,0,346,56.5,0,56.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1953,9,5,3,15,0,10,2,0,1,5,0,2,2,12,0,0,0,0,0,0,0,66,19550,0,"nonHR"
"DA63170","circular",63.7941758490184,119807,8,"no",2,3,0,3,404801,0,404801,2437314,0,2437314,1,0,0,1,1,0,96,0,96,10,10,0,3,0,3,0,0,0,0,0,0,0,0,0,0,119.5,0,119.5,32,0,32,166,0,166,31,0,31,411,0,411,148656.5,0,148656.5,31117,0,31117,96,0,411,0,411,32,0,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2980,4,0,7,3,0,30,0,0,0,4,0,0,0,14,0,0,2,0,0,0,0,64,49874,0,"nonHR"
"DA63172","circular",69.2852150170914,81831,42,"yes",6,5,2,3,1768316,22749,1791065,3792906,42402,3835308,1,1,1,2,2,2,13,9,22,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,25.5,0,25.5,58,43,43,84,149,149,31,0,31,268,544,406,59755.5,0,59755.5,31958,0,31958,13,0,268,0,268,58,0,58,3,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4,0,3318,3318,0,39,39,0,5,0,102,102,0,44,44,0,0,0,0,0,12,3483,14,0,43,17,0,58,0,3,0,2,0,5,4,20,2,61,0,0,1,0,0,230,991,0,"nonHR"
"DA63174","circular",43.0445145598902,104191,4,"no",1,2,0,2,3513817,0,3513817,3871409,0,3871409,0,0,0,0,0,0,68,0,68,29,29,0,1,0,1,0,0,0,0,0,0,0,0,0,0,360,0,360,26,0,26,106,0,106,37,0,37,27457,0,27457,172502,0,172502,32499,0,32499,68,0,27457,0,27457,26,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2139,4,6,14,13,0,30,6,0,4,5,0,8,12,16,0,0,0,0,0,0,0,118,3838,0,"nonHR"
"DA63176","linear",35.8328159774868,176726,7,"no",4,2,2,0,0,146389,146389,0,408993.5,408993.5,0,1,1,1,1,2,0,69,69,25,0,25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,329.5,329.5,0,26,26,0,117,117,0,53,53,0,11372,11372,0,173801,173801,0,32593,32593,0,69,0,11372,11372,0,26,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3175,1,7,2,12,0,15,2,0,4,1,0,2,1,12,0,0,0,0,0,0,0,59,16328,0,"nonHR"
"DA63178","circular",10.1294060671731,71112,61,"no",4,4,1,3,2061006,5005,2066011,2728492,5005,2733497,2,0,0,2,2,1,32,7,39,6,6,0,1,5,6,0,0,0,0,3,3,0,0,0,0,29,0,29,41.5,150,45,485,821,821,29,0,29,312,3266,3163,108371,0,108371,30986,0,30986,32,0,312,0,312,41.5,0,41.5,3,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3266,3266,0,150,150,0,0,0,0,0,11,5191,37,1,33,20,1,48,0,0,0,1,0,8,14,20,0,50,0,0,0,0,0,233,1416,0,"nonHR"
"DA63180","linear",32.4050414911074,78999,1,"no",1,3,3,0,0,1143,1143,0,12332,12332,0,2,4,2,4,6,0,33,33,16,0,16,0,6,6,0,0,0,0,2,2,0,0,0,0,0,207,207,0,35,35,0,820,820,0,71,71,0,27796,27796,0,47398,47398,0,27796,27796,0,10,0,18552,18552,0,29,29,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,45383,45383,0,54,54,0,16,0,20472,20472,0,54,54,0,0,0,0,0,16,2749,40,2,3,29,0,22,1,2,0,24,4,4,2,12,7,12,2,0,9,0,0,175,1629.5,0,"HR"
"DA63182","circular",21.6632385670464,94608,15,"no",3,3,1,2,388929,42305,431234,751593.5,42305,793898.5,0,1,1,1,1,1,40,22,62,10,7,3,13,5,18,0,3,3,0,3,3,0,2,2,0,93,1789,146,47.5,38.5,42.5,205,820,820,35,820,820,319,3293,3246,41185,17033,39330.5,31247,9091,9091,40,0,319,0,319,47.5,0,47.5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3293,3293,0,38.5,38.5,0,0,0,0,0,12,3235,37,4,12,14,0,39,9,0,2,7,14,6,0,15,0,28,0,0,0,0,0,187,2494,0,"HR"
"DA63184","linear",29.61897911218,103914,4,"no",2,3,2,1,414436,133415,547851,414436,859131,1273567,1,2,2,3,3,2,17,120,137,46,2,44,0,2,2,0,0,0,0,0,0,0,0,0,0,48,567,481,26,29,29,84,206,206,26,37,37,1819,46866.5,34764,79084.5,130290,130290,22936,31844,22936,17,120,1819,46866.5,34764,26,29,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4204,80,0,6,2,0,49,9,0,0,0,0,8,0,20,1,0,0,0,0,0,0,175,4549.5,0,"nonHR"
"DA63186","circular",28.841276538523,108545,12,"no",2,3,1,2,3840702,4222,3844924,4216949,4222,4221171,2,1,5,3,7,5,27,1,28,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,98,23,0,23,86,0,86,33,0,33,14661,0,14661,110193,0,110193,36803,0,36803,27,0,14661,0,14661,23,0,23,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,3483,9,10,7,22,0,35,5,2,2,11,0,2,3,6,0,0,3,0,0,0,0,117,23064.5,0,"HR"
"DA63188","circular",17.4344364498112,106632,20,"no",5,2,0,2,3767208,0,3767208,4114872,0,4114872,2,0,0,2,2,0,28,0,28,6,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,84.5,0,84.5,34.5,0,34.5,124,0,124,35,0,35,1700.5,0,1700.5,67283.5,0,67283.5,31250,0,31250,28,0,1700.5,0,1700.5,34.5,0,34.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1766,7,9,2,14,0,13,2,0,0,3,0,2,2,12,0,0,0,0,0,0,0,66,19550,0,"nonHR"
"DA63190","circular",82.5117936864917,121304,2,"no",2,2,0,2,3226826,0,3226826,3565701.5,0,3565701.5,0,0,0,0,0,0,23,0,23,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,78,27,0,27,96,0,96,26,0,26,15506,0,15506,45938,0,45938,42417,0,42417,23,0,15506,0,15506,27,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2419,3,5,10,6,5,19,1,0,0,3,0,4,1,9,0,0,0,0,0,0,0,66,18277,0,"nonHR"
"DA63192","circular",15.9449754639248,109457,2,"no",1,2,0,2,3546645,0,3546645,3899349,0,3899349,2,0,0,2,2,0,24,0,24,7,7,0,1,0,1,0,0,0,1,0,1,0,0,0,0,93.5,0,93.5,32,0,32,768,0,768,36,0,36,15582,0,15582,90641,0,90641,35325,0,35325,24,0,15582,0,15582,32,0,32,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3068,23,0,1,8,0,24,1,0,0,0,3,4,0,9,3,3,0,0,0,0,0,79,5878.5,0,"nonHR"
"DA63194","circular",35.3398265909472,113646,2,"no",2,4,2,2,3817744,5418,3823162,4180983,9364,4190347,2,2,2,4,4,2,29,46,75,34,10,24,0,6,6,0,2,2,0,2,2,0,0,0,0,132.5,520,381.5,23,35,29,96,820,820,35,126,126,17206,6355,6364,110628,6659.5,6965,31206,6276,6276,29,0,17206,0,17206,23,0,23,2,1,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,23,0,6355,6355,0,35,35,0,23,0,6355,6355,0,35,35,0,0,0,0,0,15,2987,14,22,2,6,0,50,6,2,4,7,0,10,0,27,1,31,1,0,0,3,0,186,4097,0,"nonHR"
"DA63196","circular",49.2356470780828,103861,1,"no",1,2,0,2,1214388,0,1214388,1549960,0,1549960,0,0,0,0,0,0,50,0,50,8,8,0,5,0,5,0,0,0,3,0,3,0,0,0,0,90,0,90,29,0,29,1226,0,1226,30,0,30,27748,0,27748,93783,0,93783,34043,0,34043,50,0,27748,0,27748,29,0,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5896,43,17,0,35,0,65,9,3,28,23,0,9,5,12,106,5,23,0,0,0,0,383,3313,0,"nonHR"
"DA63198","circular",35.8890437361875,116938,10,"no",3,2,1,1,388111,53086,441197,388111,53086,441197,1,0,0,1,1,1,9,14,23,3,3,0,1,0,1,0,0,0,1,0,1,0,0,0,0,78,0,78,26,32.5,32,768,95,768,26,0,26,18599,3271,3320,47203,0,47203,43682,0,43682,9,0,18599,0,18599,26,0,26,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3271,3271,0,32.5,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4358,9,3,9,28,0,30,1,1,0,8,0,4,2,12,0,2,1,0,0,0,0,110,1790.5,0,"nonHR"
"DA63200","linear",38.0859021831066,116861,5,"no",1,2,0,2,4136793,0,4136793,4503234.5,0,4503234.5,2,0,0,2,2,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,96,0,96,0,0,0,3538,0,3538,0,0,0,0,0,0,12,0,3538,0,3538,25,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2884,5,4,5,9,3,7,1,0,0,2,0,2,2,9,4,0,0,0,0,0,0,53,46325.5,0,"nonHR"
"DA63202","linear",23.7924819048881,75604,9,"no",7,3,1,2,1135667,629441,1765108,1143253,629441,1772694,1,1,1,2,2,1,73,8,81,23,20,3,46,0,46,20,0,20,38,0,38,20,0,20,0,8734.5,78,7913,507,26,173,1346,36,1346,1346,26,1346,4859,24327,4967,32907,45950,33990,14547,42429,14547,0,8,0,24327,24327,0,26,26,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,35,0,4859,0,4859,820,0,820,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2412,0,2,14,36,0,32,1,1,0,13,0,4,1,12,0,153,1,68,17,0,0,355,1314.5,0,"HR"
"DA63204","circular",17.5835666761511,110740,1,"no",1,2,0,2,690614,0,690614,1121854,0,1121854,0,0,0,0,0,0,72,0,72,24,24,0,2,0,2,0,0,0,0,0,0,0,0,0,0,321.5,0,321.5,26,0,26,117,0,117,53,0,53,11325,0,11325,174569,0,174569,31250,0,31250,72,0,11325,0,11325,26,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3482,1,7,2,12,0,18,2,0,4,1,0,2,1,12,0,0,0,0,0,0,0,62,23602,0,"nonHR"
"DA63210","circular",4.72509169359334,133063,5,"no",2,3,1,2,3295879,55333,3351212,3658544,55333,3713877,0,0,0,0,0,1,19,52,71,31,7,24,1,15,16,0,9,9,0,5,5,0,2,2,0,93,4647,146,27,47,35,106,822,822,35,822,822,34946,12191,30472,41185,51370.5,51337,31247,33257,31247,19,0,34946,0,34946,27,0,27,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52,0,12191,12191,0,47,47,0,0,0,0,0,12,2555,32,4,12,14,0,39,9,0,2,20,7,6,0,15,0,35,0,0,0,0,0,195,527,0,"HR"
